sitename,lon,lat,elv,year_start,year_end,canopy_height,reference_height,koeppen_code,igbp_land_use,whc,product,c3c4,mat,p_over_pet
FR-Lam,1.2379,43.4965,182,2005,2020,0.8930252772826303,2.9244699090980473,Cfb,CRO,188.0902099609375,icos_warmwinter2020,rotation,14.70298247859959,0.7955658993495897
FR-Lq1,2.735830068588257,45.64305877685547,1066,2004,2006,0.5,2,Cfb,GRA,259.6422119140625,plumber,NA,8.395389904427052,2.0231386750582536
FR-Lq2,2.737030029296875,45.639190673828125,1081,2004,2006,0.5,2,Cfb,GRA,259.6422119140625,plumber,NA,8.395389904427052,2.0218538031958753
FR-Pue,3.595829963684082,43.741390228271484,270,2000,2014,6.5,11,Csa,EBF,260.3506774902344,plumber,C3,14.781709458294772,1.0012735011078682
FR-Tou,1.37474,43.572857,158,2018,2020,0.47078062298103396,1.038486668340516,Cfa,GRA,171.27365112304688,icos_warmwinter2020,NA,15.919701664683979,0.7709156082337946
GF-Guy,-52.9248,5.2787,40,2004,2020,35,58,Af,EBF,530.6138916015625,icos_warmwinter2020,C3,26.482598944706343,1.772622625499132
GL-Dsk,-53.51413,69.25349,8,2020,2020,5.460000002384186,9.059999990463258,ET,SNO,151.00140380859375,icos_warmwinter2020,C3,-1.866115902889038,0
HU-Bug,19.601299285888672,46.69110107421875,106,2003,2006,1,4,Cfb,GRA,191.98248291015625,plumber,NA,11.665757230211844,0.8004155865453573
ID-Pag,113.9000015258789,-2.319999933242798,30,2002,2003,26,41,Af,EBF,269.3514099121094,plumber,NA,27.941945950411856,1.5059433694299476
IE-Ca1,-6.918139934539795,52.85879135131836,72,2004,2006,0.8999999761581421,1.899999976158142,Cfb,CRO,172.05734252929688,plumber,NA,11.463072899719743,1.7907353567495237
IE-Cra,-7.641774,53.32309,59,2020,2020,2.596904761904762,5.059687523841858,Cfb,WET,176.38888549804688,icos_warmwinter2020,C3,10.182158504233847,2.0481056950865586
IE-Dri,-8.751810073852539,51.986690521240234,186,2003,2005,0.5,1.1029411764705883,Cfb,GRA,208.4802703857422,plumber,NA,9.695496009523698,3.3077735642036865
IL-Yat,35.05149841,31.34499931,664,2000,2020,14.08656693689504,22.63080946931385,BSh,ENF,233.7943572998047,icos_warmwinter2020,C3,20.727697933461823,0.17437708614918607
IT-Amp,13.605159759521484,41.90409851074219,991,2003,2006,0.5,1.1029411764705883,Cfa,GRA,337.0481262207031,plumber,NA,10.314022384524076,1.1514398801126275
IT-BCi,14.957444,40.52375,10,2004,2020,1,2.2502127659574467,Csa,CRO,408.5556945800781,icos_warmwinter2020,C4,19.200957013707676,1.0286708698288394
IT-BFt,10.741966,45.197754,23,2019,2020,19.4375,42.87683823529412,Cfa,DBF,383.90167236328125,icos_warmwinter2020,C3,16.035307272197905,1.0520555898267967
IT-CA1,12.026559829711914,42.380409240722656,200,2012,2013,5.5,12.132352941176471,Csa,DBF,364.29302978515625,plumber,C3,17.391524191236435,0.6745233336438873
IT-CA2,12.026040077209473,42.377220153808594,200,2012,2013,0.30000001192092896,0.6617647321785198,Csa,CRO,364.29302978515625,plumber,C3,17.222496502500412,0.6825415631439046
IT-CA3,12.022199630737305,42.380001068115234,197,2012,2013,3.5,7,Csa,DBF,364.29302978515625,plumber,C3,17.004467182162884,0.6720248356092244
IT-Col,13.588139533996582,41.849361419677734,1560,2007,2014,13,25.200000762939453,Cfa,DBF,395.8569641113281,plumber,C3,8.697006049884909,1.2271269160542455
IT-Cp2,12.357293,41.704266,19,2012,2020,28.345454562794078,62.52673800616341,Csa,EBF,499.8299560546875,icos_warmwinter2020,C3,18.3738563760156,0.6306525388804037
IT-Cpz,12.376110076904297,41.70524978637695,68,2001,2008,13,28.676470588235297,Csa,EBF,499.8299560546875,plumber,C3,17.356518049554165,0.6707851875444899
IT-Isp,8.633580207824707,45.81264114379883,210,2013,2014,19,38,Cfb,DBF,227.12704467773438,plumber,C3,14.446903875980299,2.412072953095964
IT-LMa,7.582590103149414,45.15258026123047,350,2003,2004,25,55.14705882352941,Cfb,DBF,228.6939697265625,plumber,NA,15.261585870794168,1.2293403807376742
IT-Lav,11.281319618225098,45.956199645996094,1353,2003,2020,28,61.76470588235294,Cfb,ENF,239.14027404785156,icos_warmwinter2020,C3,8.32629475264842,1.2715522910276948
IT-Lsn,12.750297,45.740482,1,2016,2020,0.20000000298023224,0.44117647716227704,Cfa,OSH,156.6723175048828,icos_warmwinter2020,C3,15.893817267337866,1.1521555329673836
IT-MBo,11.045831,46.01468,1550,2003,2020,0.30000001192092896,0.6617647321785198,Dfb,GRA,227.96392822265625,icos_warmwinter2020,C3,6.565266128329867,1.9671584244313023
IT-Mal,11.703339576721191,46.11402130126953,1610,2003,2003,0.5,1.1029411764705883,ET,GRA,235.1103057861328,plumber,NA,6.123424562833543,3.649517735940008
IT-Noe,8.151689529418945,40.606178283691406,25,2004,2014,1.2000000476837158,3,-,CSH,130.3952178955078,plumber,C3,18.102837000464827,0.4840194179970657
IT-Non,11.091090202331543,44.690189361572266,14,2002,2002,7,13,Cfa,MF,318.0335693359375,plumber,NA,15.459349844568099,2.719688878787285
IT-PT1,9.061039924621582,45.200870513916016,60,2003,2004,26,57.352941176470594,Cfa,DBF,273.28887939453125,plumber,C3,14.400276708204842,0.7259080471393591
IT-Ren,11.43369,46.58686,1735.6,1999,2020,28,61.76470588235294,Dfc,ENF,263.0419006347656,icos_warmwinter2020,C3,5.626812045165006,1.2009153410109943
