sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
CA-NS6,2001-10-01,2005-09-22,2002,2004,3,FALSE,2001-10-01,2005-09-22,2002,2004,3,FALSE,NA,NA,NA,NA,0,TRUE
CA-NS7,2002-06-23,2005-09-29,2003,2004,2,FALSE,2002-06-22,2005-09-29,2003,2004,2,FALSE,NA,NA,NA,NA,0,TRUE
CA-Qcu,2002-02-18,2006-12-30,2003,2005,3,FALSE,2002-01-23,2006-12-30,2003,2005,3,FALSE,2002-01-23,2006-12-30,2003,2005,3,FALSE
CA-Qfo,2003-08-27,2010-12-30,2004,2009,6,FALSE,2003-08-27,2010-12-30,2004,2009,6,FALSE,2003-08-27,2010-12-30,2004,2009,6,FALSE
CA-SF1,2005-04-08,2005-09-21,2006,2004,-1,TRUE,2003-07-17,2006-11-18,2004,2005,2,FALSE,2003-07-17,2006-11-18,2004,2005,2,FALSE
CA-SF2,2005-04-08,2005-09-20,2006,2004,-1,TRUE,2002-04-10,2005-10-26,2003,2004,2,FALSE,2002-04-10,2005-10-26,2003,2004,2,FALSE
CA-SF3,2003-04-09,2003-09-22,2004,2002,-1,TRUE,2003-01-01,2005-12-30,2003,2004,2,FALSE,2003-01-01,2005-12-30,2003,2004,2,FALSE
CA-TP1,2008-05-01,2014-04-09,2009,2013,5,FALSE,2008-04-30,2014-04-10,2009,2013,5,FALSE,2008-04-30,2014-04-10,2009,2013,5,FALSE
CA-TP3,2007-03-28,2017-12-30,2008,2016,9,FALSE,2007-03-28,2017-12-30,2008,2016,9,FALSE,2007-03-28,2017-12-30,2008,2016,9,FALSE
CA-TPD,2012-01-01,2017-12-30,2012,2016,5,FALSE,2012-01-01,2017-12-30,2012,2016,5,FALSE,2012-01-01,2017-12-30,2012,2016,5,FALSE
CH-Aws,2014-05-20,2020-12-30,2015,2020,6,FALSE,2014-05-20,2020-12-30,2015,2020,6,FALSE,2011-04-18,2011-11-04,2012,2010,-1,TRUE
CH-Cha,2009-08-14,2020-12-30,2010,2020,11,FALSE,2009-08-16,2020-12-30,2010,2020,11,FALSE,2009-08-16,2020-12-30,2010,2020,11,FALSE
CH-Dav,1997-01-01,2020-12-30,1997,2020,24,FALSE,1997-01-01,2020-12-30,1997,2020,24,FALSE,1997-01-01,2013-09-27,1997,2012,16,FALSE
CH-Fru,2010-03-05,2020-12-30,2011,2020,10,FALSE,2010-03-05,2020-12-30,2011,2020,10,FALSE,2010-03-05,2015-01-27,2011,2014,4,FALSE
CH-Lae,2004-03-31,2020-12-19,2005,2019,15,FALSE,2004-03-31,2020-12-24,2005,2019,15,FALSE,NA,NA,NA,NA,0,TRUE
CH-Oe1,2002-01-28,2008-12-30,2003,2008,6,FALSE,2002-01-26,2008-12-30,2003,2008,6,FALSE,NA,NA,NA,NA,0,TRUE
CH-Oe2,2004-01-07,2020-12-30,2005,2020,16,FALSE,2004-01-01,2020-12-30,2004,2020,17,FALSE,NA,NA,NA,NA,0,TRUE
CN-Cha,2003-01-01,2005-12-30,2003,2004,2,FALSE,2003-01-01,2005-12-30,2003,2004,2,FALSE,NA,NA,NA,NA,0,TRUE
CN-Cng,2008-01-01,2009-12-30,2008,2008,1,FALSE,2008-01-01,2009-12-31,2008,2009,2,FALSE,2008-01-01,2009-12-31,2008,2009,2,FALSE
CN-Dan,2004-01-05,2005-12-30,2005,2004,0,TRUE,2004-01-05,2005-12-30,2005,2004,0,TRUE,NA,NA,NA,NA,0,TRUE
CN-Din,2003-01-01,2005-12-30,2003,2004,2,FALSE,2003-01-01,2005-12-30,2003,2004,2,FALSE,NA,NA,NA,NA,0,TRUE
CN-Du2,2007-01-01,2008-12-30,2007,2008,2,FALSE,2007-01-01,2008-12-30,2007,2008,2,FALSE,2007-01-01,2008-10-23,2007,2007,1,FALSE
CN-HaM,2002-01-08,2003-12-30,2003,2002,0,TRUE,2002-01-08,2003-12-30,2003,2002,0,TRUE,2002-01-08,2003-12-30,2003,2002,0,TRUE
